sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000042,中洲控股,2025年年度报告,2026-04-18 00:00:00,1225123355,/Users/jimmy/Github/THU-AgentWork/reports_raw/000042_中洲控股/2025/1225123355.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123355.PDF
000498,山东路桥,2025年年度报告,2026-04-18 00:00:00,1225123102,/Users/jimmy/Github/THU-AgentWork/reports_raw/000498_山东路桥/2025/1225123102.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123102.PDF
000595,*ST宝实,2025年年度报告,2026-04-18 00:00:00,1225123520,/Users/jimmy/Github/THU-AgentWork/reports_raw/000595_ST宝实/2025/1225123520.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123520.PDF
002248,华东数控,2025年年度报告,2026-04-18 00:00:00,1225123202,/Users/jimmy/Github/THU-AgentWork/reports_raw/002248_华东数控/2025/1225123202.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123202.PDF
002268,电科网安,2025年年度报告,2026-04-18 00:00:00,1225122886,/Users/jimmy/Github/THU-AgentWork/reports_raw/002268_电科网安/2025/1225122886.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122886.PDF
002371,北方华创,2025年年度报告,2026-04-18 00:00:00,1225122918,/Users/jimmy/Github/THU-AgentWork/reports_raw/002371_北方华创/2025/1225122918.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF
002415,海康威视,2025年年度报告,2026-04-18 00:00:00,1225123062,/Users/jimmy/Github/THU-AgentWork/reports_raw/002415_海康威视/2025/1225123062.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123062.PDF
002496,*ST辉丰,2025年年度报告,2026-04-18 00:00:00,1225122967,/Users/jimmy/Github/THU-AgentWork/reports_raw/002496_ST辉丰/2025/1225122967.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122967.PDF
002542,中化岩土,2025年年度报告,2026-04-18 00:00:00,1225123272,/Users/jimmy/Github/THU-AgentWork/reports_raw/002542_中化岩土/2025/1225123272.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123272.PDF
002693,*ST双成,2025年年度报告,2026-04-18 00:00:00,1225122860,/Users/jimmy/Github/THU-AgentWork/reports_raw/002693_ST双成/2025/1225122860.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122860.PDF
300123,亚光科技,2025年年度报告,2026-04-18 00:00:00,1225122997,/Users/jimmy/Github/THU-AgentWork/reports_raw/300123_亚光科技/2025/1225122997.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122997.PDF
600048,保利发展,保利发展控股集团股份有限公司2025年年度报告,2026-04-18 00:00:00,1225123569,/Users/jimmy/Github/THU-AgentWork/reports_raw/600048_保利发展/2025/1225123569.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123569.PDF
600078,澄星股份,江苏澄星磷化工股份有限公司2025年年度报告,2026-04-18 00:00:00,1225122678,/Users/jimmy/Github/THU-AgentWork/reports_raw/600078_澄星股份/2025/1225122678.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122678.PDF
600120,浙江东方,浙江东方控股集团股份有限公司2025年年度报告,2026-04-18 00:00:00,1225123630,/Users/jimmy/Github/THU-AgentWork/reports_raw/600120_浙江东方/2025/1225123630.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123630.PDF
600271,航天信息,航天信息股份有限公司2025年年度报告,2026-04-18 00:00:00,1225122576,/Users/jimmy/Github/THU-AgentWork/reports_raw/600271_航天信息/2025/1225122576.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122576.PDF
600644,乐山电力,乐山电力股份有限公司2025年年度报告全文,2026-04-18 00:00:00,1225123654,/Users/jimmy/Github/THU-AgentWork/reports_raw/600644_乐山电力/2025/1225123654.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123654.PDF
600872,中炬高新,中炬高新2025年年度报告,2026-04-18 00:00:00,1225123413,/Users/jimmy/Github/THU-AgentWork/reports_raw/600872_中炬高新/2025/1225123413.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123413.PDF
600936,北投科技,北投科技2025年年度报告,2026-04-18 00:00:00,1225122831,/Users/jimmy/Github/THU-AgentWork/reports_raw/600936_北投科技/2025/1225122831.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122831.PDF
601086,国芳集团,国芳集团：2025年年度报告,2026-04-18 00:00:00,1225122543,/Users/jimmy/Github/THU-AgentWork/reports_raw/601086_国芳集团/2025/1225122543.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122543.PDF
601668,中国建筑,中国建筑股份有限公司2025年年度报告,2026-04-18 00:00:00,1225123321,/Users/jimmy/Github/THU-AgentWork/reports_raw/601668_中国建筑/2025/1225123321.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123321.PDF
603060,国检集团,国检集团2025年年度报告,2026-04-18 00:00:00,1225122788,/Users/jimmy/Github/THU-AgentWork/reports_raw/603060_国检集团/2025/1225122788.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122788.PDF
603377,ST东时,2025年年度报告,2026-04-18 00:00:00,1225123754,/Users/jimmy/Github/THU-AgentWork/reports_raw/603377_ST东时/2025/1225123754.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123754.PDF
603610,麒盛科技,麒盛科技2025年年度报告,2026-04-18 00:00:00,1225122654,/Users/jimmy/Github/THU-AgentWork/reports_raw/603610_麒盛科技/2025/1225122654.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122654.PDF
603881,数据港,上海数据港股份有限公司2025年年度报告,2026-04-18 00:00:00,1225123460,/Users/jimmy/Github/THU-AgentWork/reports_raw/603881_数据港/2025/1225123460.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123460.PDF
605178,时空科技,2025年年度报告,2026-04-18 00:00:00,1225122793,/Users/jimmy/Github/THU-AgentWork/reports_raw/605178_时空科技/2025/1225122793.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122793.PDF
688048,长光华芯,2025年年度报告,2026-04-18 00:00:00,1225123248,/Users/jimmy/Github/THU-AgentWork/reports_raw/688048_长光华芯/2025/1225123248.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123248.PDF
688093,世华科技,2025年年度报告,2026-04-18 00:00:00,1225123700,/Users/jimmy/Github/THU-AgentWork/reports_raw/688093_世华科技/2025/1225123700.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123700.PDF
688181,八亿时空,八亿时空2025年年度报告,2026-04-18 00:00:00,1225123482,/Users/jimmy/Github/THU-AgentWork/reports_raw/688181_八亿时空/2025/1225123482.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123482.PDF
688416,恒烁股份,2025年年度报告,2026-04-18 00:00:00,1225123046,/Users/jimmy/Github/THU-AgentWork/reports_raw/688416_恒烁股份/2025/1225123046.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123046.PDF
688530,欧莱新材,欧莱新材2025年年度报告,2026-04-18 00:00:00,1225123381,/Users/jimmy/Github/THU-AgentWork/reports_raw/688530_欧莱新材/2025/1225123381.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225123381.PDF
688646,ST逸飞,逸飞激光2025年年度报告,2026-04-18 00:00:00,1225122586,/Users/jimmy/Github/THU-AgentWork/reports_raw/688646_ST逸飞/2025/1225122586.pdf,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122586.PDF
