sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000001,平安银行,2025年年度报告,2026-03-21 00:00:00,1225022887,reports_raw/000001_平安银行/2025/1225022887.pdf,https://static.cninfo.com.cn/finalpage/2026-03-21/1225022887.PDF
000011,深物业A,2025年年度报告,2026-03-28 00:00:00,1225045283,reports_raw/000011_深物业A/2025/1225045283.pdf,https://static.cninfo.com.cn/finalpage/2026-03-28/1225045283.PDF
000014,沙河股份,2025年年度报告,2026-03-18 00:00:00,1225013620,reports_raw/000014_沙河股份/2025/1225013620.pdf,https://static.cninfo.com.cn/finalpage/2026-03-18/1225013620.PDF
000026,飞亚达,2025年年度报告,2026-03-14 00:00:00,1225009595,reports_raw/000026_飞亚达/2025/1225009595.pdf,https://static.cninfo.com.cn/finalpage/2026-03-14/1225009595.PDF
000029,深深房Ａ,2025年年度报告,2026-03-20 00:00:00,1225018472,reports_raw/000029_深深房Ａ/2025/1225018472.pdf,https://static.cninfo.com.cn/finalpage/2026-03-20/1225018472.PDF
000034,神州数码,2025年年度报告,2026-03-31 00:00:00,1225058636,reports_raw/000034_神州数码/2025/1225058636.pdf,https://static.cninfo.com.cn/finalpage/2026-03-31/1225058636.PDF
000039,中集集团,2025年年度报告,2026-03-27 00:00:00,1225037930,reports_raw/000039_中集集团/2025/1225037930.pdf,https://static.cninfo.com.cn/finalpage/2026-03-27/1225037930.PDF
000045,深纺织Ａ,2025年年度报告,2026-03-30 00:00:00,1225039815,reports_raw/000045_深纺织Ａ/2025/1225039815.pdf,https://static.cninfo.com.cn/finalpage/2026-03-30/1225039815.PDF
000050,深天马Ａ,2025年年度报告,2026-03-14 00:00:00,1225009341,reports_raw/000050_深天马Ａ/2025/1225009341.pdf,https://static.cninfo.com.cn/finalpage/2026-03-14/1225009341.PDF
000058,深 赛 格,2025年年度报告,2026-03-27 00:00:00,1225037485,reports_raw/000058_深_赛_格/2025/1225037485.pdf,https://static.cninfo.com.cn/finalpage/2026-03-27/1225037485.PDF
