sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000001,平安银行,2024年年度报告,2025-03-15 00:00:00,1222806505,reports_raw/companies/000_sz_main/000001_平安银行/2024/1222806505.pdf,https://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF
000011,深物业A,2024年年度报告,2025-03-29 00:00:00,1222946147,reports_raw/companies/000_sz_main/000011_深物业A/2024/1222946147.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222946147.PDF
000014,沙河股份,2024年年度报告,2025-03-29 00:00:00,1222943281,reports_raw/companies/000_sz_main/000014_沙河股份/2024/1222943281.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222943281.PDF
000025,特  力Ａ,2024年年度报告,2025-03-28 00:00:00,1222927703,reports_raw/companies/000_sz_main/000025_特_力Ａ/2024/1222927703.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222927703.PDF
000026,飞亚达,2024年年度报告,2025-03-14 00:00:00,1222788741,reports_raw/companies/000_sz_main/000026_飞亚达/2024/1222788741.pdf,https://static.cninfo.com.cn/finalpage/2025-03-14/1222788741.PDF
000029,深深房Ａ,2024年年度报告,2025-03-22 00:00:00,1222870093,reports_raw/companies/000_sz_main/000029_深深房Ａ/2024/1222870093.pdf,https://static.cninfo.com.cn/finalpage/2025-03-22/1222870093.PDF
000034,神州数码,2024年年度报告,2025-03-29 00:00:00,1222950126,reports_raw/companies/000_sz_main/000034_神州数码/2024/1222950126.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222950126.PDF
000039,中集集团,2024年年度报告,2025-03-28 00:00:00,1222938612,reports_raw/companies/000_sz_main/000039_中集集团/2024/1222938612.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222938612.pdf
000045,深纺织Ａ,2024年年度报告,2025-03-28 00:00:00,1222922190,reports_raw/companies/000_sz_main/000045_深纺织Ａ/2024/1222922190.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222922190.PDF
000048,京基智农,2024年年度报告,2025-03-31 00:00:00,1222944754,reports_raw/companies/000_sz_main/000048_京基智农/2024/1222944754.pdf,https://static.cninfo.com.cn/finalpage/2025-03-31/1222944754.PDF
000050,深天马Ａ,2024年年度报告,2025-03-15 00:00:00,1222806950,reports_raw/companies/000_sz_main/000050_深天马Ａ/2024/1222806950.pdf,https://static.cninfo.com.cn/finalpage/2025-03-15/1222806950.PDF
000058,深 赛 格,2024年年度报告,2025-03-28 00:00:00,1222923589,reports_raw/companies/000_sz_main/000058_深_赛_格/2024/1222923589.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222923589.PDF
000062,深圳华强,2024年年度报告,2025-03-14 00:00:00,1222788222,reports_raw/companies/000_sz_main/000062_深圳华强/2024/1222788222.pdf,https://static.cninfo.com.cn/finalpage/2025-03-14/1222788222.PDF
000063,中兴通讯,2024年年度报告,2025-03-01 00:00:00,1222675749,reports_raw/companies/000_sz_main/000063_中兴通讯/2024/1222675749.pdf,https://static.cninfo.com.cn/finalpage/2025-03-01/1222675749.PDF
000068,华控赛格,2024年年度报告,2025-03-15 00:00:00,1222807544,reports_raw/companies/000_sz_main/000068_华控赛格/2024/1222807544.pdf,https://static.cninfo.com.cn/finalpage/2025-03-15/1222807544.PDF
000069,华侨城Ａ,2024年年度报告,2025-03-29 00:00:00,1222949848,reports_raw/companies/000_sz_main/000069_华侨城Ａ/2024/1222949848.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949848.PDF
000099,中信海直,2024年年度报告,2025-03-18 00:00:00,1222821612,reports_raw/companies/000_sz_main/000099_中信海直/2024/1222821612.pdf,https://static.cninfo.com.cn/finalpage/2025-03-18/1222821612.PDF
000156,华数传媒,2024年年度报告,2025-03-20 00:00:00,1222845993,reports_raw/companies/000_sz_main/000156_华数传媒/2024/1222845993.pdf,https://static.cninfo.com.cn/finalpage/2025-03-20/1222845993.PDF
000157,中联重科,2024年年度报告,2025-03-25 00:00:00,1222882571,reports_raw/companies/000_sz_main/000157_中联重科/2024/1222882571.pdf,https://static.cninfo.com.cn/finalpage/2025-03-25/1222882571.PDF
000159,国际实业,2024年年度报告,2025-03-28 00:00:00,1222926795,reports_raw/companies/000_sz_main/000159_国际实业/2024/1222926795.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222926795.PDF
000166,申万宏源,2024年年度报告,2025-03-29 00:00:00,1222948663,reports_raw/companies/000_sz_main/000166_申万宏源/2024/1222948663.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222948663.PDF
000333,美的集团,2024年年度报告,2025-03-29 00:00:00,1222951181,reports_raw/companies/000_sz_main/000333_美的集团/2024/1222951181.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222951181.PDF
000338,潍柴动力,2024年年度报告,2025-03-28 00:00:00,1222927979,reports_raw/companies/000_sz_main/000338_潍柴动力/2024/1222927979.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222927979.PDF
000401,冀东水泥,2024年年度报告,2025-03-28 00:00:00,1222928055,reports_raw/companies/000_sz_main/000401_冀东水泥/2024/1222928055.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222928055.PDF
000407,胜利股份,2024年年度报告,2025-03-22 00:00:00,1222867698,reports_raw/companies/000_sz_main/000407_胜利股份/2024/1222867698.pdf,https://static.cninfo.com.cn/finalpage/2025-03-22/1222867698.PDF
000408,藏格矿业,2024年年度报告,2025-03-29 00:00:00,1222951087,reports_raw/companies/000_sz_main/000408_藏格矿业/2024/1222951087.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222951087.PDF
000423,东阿阿胶,2024年年度报告,2025-03-18 00:00:00,1222822269,reports_raw/companies/000_sz_main/000423_东阿阿胶/2024/1222822269.pdf,https://static.cninfo.com.cn/finalpage/2025-03-18/1222822269.PDF
000429,粤高速Ａ,2024年年度报告,2025-03-04 00:00:00,1222693905,reports_raw/companies/000_sz_main/000429_粤高速Ａ/2024/1222693905.pdf,https://static.cninfo.com.cn/finalpage/2025-03-04/1222693905.PDF
000501,武商集团,2024年年度报告,2025-03-29 00:00:00,1222948771,reports_raw/companies/000_sz_main/000501_武商集团/2024/1222948771.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222948771.PDF
000505,京粮控股,2024年年度报告,2025-03-29 00:00:00,1222943403,reports_raw/companies/000_sz_main/000505_京粮控股/2024/1222943403.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222943403.PDF
000513,丽珠集团,2024年年度报告,2025-03-27 00:00:00,1222910377,reports_raw/companies/000_sz_main/000513_丽珠集团/2024/1222910377.pdf,https://static.cninfo.com.cn/finalpage/2025-03-27/1222910377.PDF
000524,岭南控股,2024年年度报告,2025-03-29 00:00:00,1222947116,reports_raw/companies/000_sz_main/000524_岭南控股/2024/1222947116.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222947116.PDF
000528,柳    工,2024年年度报告,2025-03-29 00:00:00,1222950803,reports_raw/companies/000_sz_main/000528_柳_工/2024/1222950803.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222950803.PDF
000532,华金资本,2024年年度报告,2025-03-27 00:00:00,1222911896,reports_raw/companies/000_sz_main/000532_华金资本/2024/1222911896.pdf,https://static.cninfo.com.cn/finalpage/2025-03-27/1222911896.PDF
000534,万泽股份,2024年年度报告,2025-03-07 00:00:00,1222733484,reports_raw/companies/000_sz_main/000534_万泽股份/2024/1222733484.pdf,https://static.cninfo.com.cn/finalpage/2025-03-07/1222733484.PDF
000539,粤电力Ａ,2024年年度报告,2025-03-29 00:00:00,1222950454,reports_raw/companies/000_sz_main/000539_粤电力Ａ/2024/1222950454.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222950454.PDF
000544,中原环保,2024年年度报告,2025-03-22 00:00:00,1222870764,reports_raw/companies/000_sz_main/000544_中原环保/2024/1222870764.pdf,https://static.cninfo.com.cn/finalpage/2025-03-22/1222870764.PDF
000550,江铃汽车,2024年年度报告,2025-03-29 00:00:00,1222949820,reports_raw/companies/000_sz_main/000550_江铃汽车/2024/1222949820.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949820.PDF
000553,安道麦A,2024年年度报告,2025-03-14 00:00:00,1222789218,reports_raw/companies/000_sz_main/000553_安道麦A/2024/1222789218.pdf,https://static.cninfo.com.cn/finalpage/2025-03-14/1222789218.PDF
000555,神州信息,2024年年度报告,2025-03-29 00:00:00,1222949593,reports_raw/companies/000_sz_main/000555_神州信息/2024/1222949593.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949593.PDF
