sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000002,万科A,2024年年度报告,2025-04-01 00:00:00,1222974139,reports_raw/companies/000_sz_main/000002_万科A/2024/1222974139.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF
000028,国药一致,2024年年度报告,2025-04-08 00:00:00,1223019869,reports_raw/companies/000_sz_main/000028_国药一致/2024/1223019869.pdf,https://static.cninfo.com.cn/finalpage/2025-04-08/1223019869.PDF
000065,北方国际,2024年年度报告,2025-04-01 00:00:00,1222975365,reports_raw/companies/000_sz_main/000065_北方国际/2024/1222975365.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222975365.PDF
000409,云鼎科技,2024年年度报告,2025-04-09 00:00:00,1223030738,reports_raw/companies/000_sz_main/000409_云鼎科技/2024/1223030738.pdf,https://static.cninfo.com.cn/finalpage/2025-04-09/1223030738.PDF
000415,渤海租赁,2024年年度报告,2025-04-03 00:00:00,1222991576,reports_raw/companies/000_sz_main/000415_渤海租赁/2024/1222991576.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222991576.PDF
000422,湖北宜化,2024年年度报告,2025-04-03 00:00:00,1222991648,reports_raw/companies/000_sz_main/000422_湖北宜化/2024/1222991648.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222991648.PDF
000488,ST晨鸣,2024年年度报告,2025-04-01 00:00:00,1222975719,reports_raw/companies/000_sz_main/000488_ST晨鸣/2024/1222975719.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222975719.PDF
000521,长虹美菱,2024年年度报告,2025-04-03 00:00:00,1222990971,reports_raw/companies/000_sz_main/000521_长虹美菱/2024/1222990971.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222990971.PDF
000523,红棉股份,2024年年度报告,2025-04-01 00:00:00,1222972962,reports_raw/companies/000_sz_main/000523_红棉股份/2024/1222972962.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222972962.PDF
000531,穗恒运Ａ,2024年年度报告,2025-04-09 00:00:00,1223032665,reports_raw/companies/000_sz_main/000531_穗恒运Ａ/2024/1223032665.pdf,https://static.cninfo.com.cn/finalpage/2025-04-09/1223032665.PDF
000538,云南白药,2024年年度报告,2025-04-01 00:00:00,1222975584,reports_raw/companies/000_sz_main/000538_云南白药/2024/1222975584.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222975584.PDF
000548,湖南投资,2024年年度报告,2025-04-03 00:00:00,1222991736,reports_raw/companies/000_sz_main/000548_湖南投资/2024/1222991736.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222991736.PDF
000551,创元科技,2024年年度报告,2025-04-08 00:00:00,1223020627,reports_raw/companies/000_sz_main/000551_创元科技/2024/1223020627.pdf,https://static.cninfo.com.cn/finalpage/2025-04-08/1223020627.PDF
000560,我爱我家,2024年年度报告,2025-04-10 00:00:00,1223044956,reports_raw/companies/000_sz_main/000560_我爱我家/2024/1223044956.pdf,https://static.cninfo.com.cn/finalpage/2025-04-10/1223044956.PDF
000597,东北制药,2024年年度报告,2025-04-03 00:00:00,1222993531,reports_raw/companies/000_sz_main/000597_东北制药/2024/1222993531.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222993531.PDF
000617,中油资本,2024年年度报告,2025-04-03 00:00:00,1222990674,reports_raw/companies/000_sz_main/000617_中油资本/2024/1222990674.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222990674.PDF
000633,合金投资,2024年年度报告,2025-04-08 00:00:00,1223020906,reports_raw/companies/000_sz_main/000633_合金投资/2024/1223020906.pdf,https://static.cninfo.com.cn/finalpage/2025-04-08/1223020906.PDF
000639,西王食品,2024年年度报告,2025-04-03 00:00:00,1222990378,reports_raw/companies/000_sz_main/000639_西王食品/2024/1222990378.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222990378.PDF
000702,正虹科技,2024年年度报告,2025-04-03 00:00:00,1222990485,reports_raw/companies/000_sz_main/000702_正虹科技/2024/1222990485.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222990485.PDF
000722,湖南发展,2024年年度报告,2025-04-10 00:00:00,1223044857,reports_raw/companies/000_sz_main/000722_湖南发展/2024/1223044857.pdf,https://static.cninfo.com.cn/finalpage/2025-04-10/1223044857.PDF
000726,鲁  泰Ａ,2024年年度报告,2025-04-10 00:00:00,1223044453,reports_raw/companies/000_sz_main/000726_鲁_泰Ａ/2024/1223044453.pdf,https://static.cninfo.com.cn/finalpage/2025-04-10/1223044453.PDF
000761,本钢板材,2024年年度报告,2025-04-04 00:00:00,1223005830,reports_raw/companies/000_sz_main/000761_本钢板材/2024/1223005830.pdf,https://static.cninfo.com.cn/finalpage/2025-04-04/1223005830.PDF
000762,西藏矿业,2024年年度报告,2025-04-02 00:00:00,1222982209,reports_raw/companies/000_sz_main/000762_西藏矿业/2024/1222982209.pdf,https://static.cninfo.com.cn/finalpage/2025-04-02/1222982209.PDF
000768,中航西飞,2024年年度报告,2025-04-01 00:00:00,1222975145,reports_raw/companies/000_sz_main/000768_中航西飞/2024/1222975145.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222975145.pdf
000809,*ST和展,2024年年度报告,2025-04-03 00:00:00,1222993934,reports_raw/companies/000_sz_main/000809_ST和展/2024/1222993934.pdf,https://static.cninfo.com.cn/finalpage/2025-04-03/1222993934.PDF
000819,岳阳兴长,2024年年度报告,2025-04-01 00:00:00,1222972547,reports_raw/companies/000_sz_main/000819_岳阳兴长/2024/1222972547.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222972547.PDF
000828,东莞控股,2024年年度报告,2025-04-08 00:00:00,1223022496,reports_raw/companies/000_sz_main/000828_东莞控股/2024/1223022496.pdf,https://static.cninfo.com.cn/finalpage/2025-04-08/1223022496.pdf
000850,华茂股份,2024年年度报告,2025-04-07 00:00:00,1223003618,reports_raw/companies/000_sz_main/000850_华茂股份/2024/1223003618.pdf,https://static.cninfo.com.cn/finalpage/2025-04-07/1223003618.PDF
000892,欢瑞世纪,2024年年度报告,2025-04-10 00:00:00,1223046511,reports_raw/companies/000_sz_main/000892_欢瑞世纪/2024/1223046511.pdf,https://static.cninfo.com.cn/finalpage/2025-04-10/1223046511.PDF
