sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000008,神州高铁,2024年年度报告,2025-04-19 00:00:00,1223150123,reports_raw/companies/000_sz_main/000008_神州高铁/2024/1223150123.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223150123.PDF
000009,中国宝安,2024年年度报告,2025-04-16 00:00:00,1223101050,reports_raw/companies/000_sz_main/000009_中国宝安/2024/1223101050.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223101050.PDF
000016,深康佳Ａ,2024年年度报告,2025-04-15 00:00:00,1223095858,reports_raw/companies/000_sz_main/000016_深康佳Ａ/2024/1223095858.pdf,https://static.cninfo.com.cn/finalpage/2025-04-15/1223095858.PDF
000027,深圳能源,2024年年度报告,2025-04-18 00:00:00,1223126126,reports_raw/companies/000_sz_main/000027_深圳能源/2024/1223126126.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223126126.PDF
000030,富奥股份,2024年年度报告,2025-04-18 00:00:00,1223124906,reports_raw/companies/000_sz_main/000030_富奥股份/2024/1223124906.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223124906.PDF
000031,大悦城,2024年年度报告,2025-04-19 00:00:00,1223153545,reports_raw/companies/000_sz_main/000031_大悦城/2024/1223153545.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223153545.PDF
000059,华锦股份,2024年年度报告,2025-04-16 00:00:00,1223099352,reports_raw/companies/000_sz_main/000059_华锦股份/2024/1223099352.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223099352.PDF
000060,中金岭南,2024年年度报告,2025-04-15 00:00:00,1223094665,reports_raw/companies/000_sz_main/000060_中金岭南/2024/1223094665.pdf,https://static.cninfo.com.cn/finalpage/2025-04-15/1223094665.PDF
000153,丰原药业,2024年年度报告,2025-04-11 00:00:00,1223056025,reports_raw/companies/000_sz_main/000153_丰原药业/2024/1223056025.pdf,https://static.cninfo.com.cn/finalpage/2025-04-11/1223056025.PDF
000400,许继电气,2024年年度报告,2025-04-11 00:00:00,1223055724,reports_raw/companies/000_sz_main/000400_许继电气/2024/1223055724.pdf,https://static.cninfo.com.cn/finalpage/2025-04-11/1223055724.PDF
000404,长虹华意,2024年年度报告,2025-04-19 00:00:00,1223154247,reports_raw/companies/000_sz_main/000404_长虹华意/2024/1223154247.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223154247.PDF
000430,张家界,2024年年度报告,2025-04-16 00:00:00,1223102184,reports_raw/companies/000_sz_main/000430_张家界/2024/1223102184.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223102184.PDF
000498,山东路桥,2024年年度报告,2025-04-15 00:00:00,1223096801,reports_raw/companies/000_sz_main/000498_山东路桥/2024/1223096801.pdf,https://static.cninfo.com.cn/finalpage/2025-04-15/1223096801.pdf
000533,顺钠股份,2024年年度报告,2025-04-16 00:00:00,1223100386,reports_raw/companies/000_sz_main/000533_顺钠股份/2024/1223100386.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223100386.PDF
000536,华映科技,2024年年度报告,2025-04-15 00:00:00,1223095618,reports_raw/companies/000_sz_main/000536_华映科技/2024/1223095618.pdf,https://static.cninfo.com.cn/finalpage/2025-04-15/1223095618.PDF
000547,航天发展,2024年年度报告,2025-04-19 00:00:00,1223156667,reports_raw/companies/000_sz_main/000547_航天发展/2024/1223156667.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223156667.PDF
000566,海南海药,2024年年度报告,2025-04-12 00:00:00,1223072357,reports_raw/companies/000_sz_main/000566_海南海药/2024/1223072357.pdf,https://static.cninfo.com.cn/finalpage/2025-04-12/1223072357.PDF
000573,粤宏远Ａ,2024年年度报告,2025-04-19 00:00:00,1223151948,reports_raw/companies/000_sz_main/000573_粤宏远Ａ/2024/1223151948.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223151948.PDF
000576,甘化科工,2024年年度报告,2025-04-19 00:00:00,1223144139,reports_raw/companies/000_sz_main/000576_甘化科工/2024/1223144139.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223144139.PDF
000581,威孚高科,2024年年度报告,2025-04-18 00:00:00,1223125324,reports_raw/companies/000_sz_main/000581_威孚高科/2024/1223125324.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223125324.PDF
000598,兴蓉环境,2024年年度报告,2025-04-18 00:00:00,1223128111,reports_raw/companies/000_sz_main/000598_兴蓉环境/2024/1223128111.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223128111.PDF
