sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000004,国华网安,2024年年度报告,2025-04-29 00:00:00,1223381901,reports_raw/companies/000_sz_main/000004_国华网安/2024/1223381901.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381901.PDF
000010,美丽生态,2024年年度报告,2025-04-29 00:00:00,1223368921,reports_raw/companies/000_sz_main/000010_美丽生态/2024/1223368921.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223368921.PDF
000012,南  玻Ａ,2024年年度报告,2025-04-28 00:00:00,1223303879,reports_raw/companies/000_sz_main/000012_南_玻Ａ/2024/1223303879.pdf,https://static.cninfo.com.cn/finalpage/2025-04-28/1223303879.PDF
000019,深粮控股,2024年年度报告,2025-04-29 00:00:00,1223375162,reports_raw/companies/000_sz_main/000019_深粮控股/2024/1223375162.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223375162.PDF
000035,中国天楹,2024年年度报告,2025-04-29 00:00:00,1223370947,reports_raw/companies/000_sz_main/000035_中国天楹/2024/1223370947.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223370947.PDF
000036,华联控股,2024年年度报告,2025-04-29 00:00:00,1223363605,reports_raw/companies/000_sz_main/000036_华联控股/2024/1223363605.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223363605.PDF
000042,中洲控股,2024年年度报告（更新前）,2025-04-26 00:00:00,1223318957,reports_raw/companies/000_sz_main/000042_中洲控股/2024/1223318957.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223318957.PDF
000061,农 产 品,2024年年度报告,2025-04-29 00:00:00,1223376199,reports_raw/companies/000_sz_main/000061_农_产_品/2024/1223376199.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223376199.PDF
000066,中国长城,2024年年度报告,2025-04-28 00:00:00,1223304243,reports_raw/companies/000_sz_main/000066_中国长城/2024/1223304243.pdf,https://static.cninfo.com.cn/finalpage/2025-04-28/1223304243.PDF
000078,海王生物,2024年年度报告,2025-04-29 00:00:00,1223363821,reports_raw/companies/000_sz_main/000078_海王生物/2024/1223363821.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223363821.PDF
