sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000042,中洲控股,2024年年度报告（更新后）,2025-05-15 00:00:00,1223544393,reports_raw/companies/000_sz_main/000042_中洲控股/2024/1223544393.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223544393.PDF
000100,TCL科技,2024年年度报告（英文版）,2025-05-20 00:00:00,1223588694,reports_raw/companies/000_sz_main/000100_TCL科技/2024/1223588694.pdf,https://static.cninfo.com.cn/finalpage/2025-05-20/1223588694.PDF
000568,泸州老窖,2024年年度报告（英文版）,2025-05-14 00:00:00,1223535052,reports_raw/companies/000_sz_main/000568_泸州老窖/2024/1223535052.pdf,https://static.cninfo.com.cn/finalpage/2025-05-14/1223535052.PDF
000629,钒钛股份,2024年年度报告（更正后）,2025-05-17 00:00:00,1223570795,reports_raw/companies/000_sz_main/000629_钒钛股份/2024/1223570795.pdf,https://static.cninfo.com.cn/finalpage/2025-05-17/1223570795.PDF
000967,盈峰环境,2024年年度报告（英文版）,2025-05-30 00:00:00,1223717930,reports_raw/companies/000_sz_main/000967_盈峰环境/2024/1223717930.pdf,https://static.cninfo.com.cn/finalpage/2025-05-30/1223717930.PDF
002241,歌尔股份,2024年年度报告（英文版）,2025-05-15 00:00:00,1223544550,reports_raw/companies/002_sz_main/002241_歌尔股份/2024/1223544550.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223544550.PDF
002384,东山精密,2024年年度报告（英文版）,2025-05-27 00:00:00,1223681675,reports_raw/companies/002_sz_main/002384_东山精密/2024/1223681675.pdf,https://static.cninfo.com.cn/finalpage/2025-05-27/1223681675.PDF
002508,老板电器,2024年年度报告（英文版）,2025-05-20 00:00:00,1223588624,reports_raw/companies/002_sz_main/002508_老板电器/2024/1223588624.pdf,https://static.cninfo.com.cn/finalpage/2025-05-20/1223588624.PDF
002538,司尔特,安徽省司尔特肥业股份有限公司2024年年度报告,2025-05-21 00:00:00,1223606780,reports_raw/companies/002_sz_main/002538_司尔特/2024/1223606780.pdf,https://static.cninfo.com.cn/finalpage/2025-05-21/1223606780.PDF
300326,ST凯利,上海凯利泰医疗科技股份有限公司2024年年度报告 （更正后）,2025-05-16 20:50:30,1223567388,reports_raw/companies/300_chinext/300326_ST凯利/2024/1223567388.pdf,https://static.cninfo.com.cn/finalpage/2025-05-16/1223567388.PDF
300888,稳健医疗,2024年年度报告（英文版）,2025-05-21 20:06:43,1223628435,reports_raw/companies/300_chinext/300888_稳健医疗/2024/1223628435.pdf,https://static.cninfo.com.cn/finalpage/2025-05-21/1223628435.PDF
301308,江波龙,深圳市江波龙电子股份有限公司2024年年度报告（更正后）,2025-05-30 18:48:40,1223733785,reports_raw/companies/301_chinext/301308_江波龙/2024/1223733785.pdf,https://static.cninfo.com.cn/finalpage/2025-05-30/1223733785.PDF
301330,熵基科技,熵基科技股份有限公司2024年年度报告（英文版）,2025-05-30 16:57:02,1223732039,reports_raw/companies/301_chinext/301330_熵基科技/2024/1223732039.pdf,https://static.cninfo.com.cn/finalpage/2025-05-30/1223732039.PDF
301337,亚华电子,2024年年度报告（更正后）,2025-05-16 19:26:14,1223569430,reports_raw/companies/301_chinext/301337_亚华电子/2024/1223569430.pdf,https://static.cninfo.com.cn/finalpage/2025-05-16/1223569430.PDF
600177,雅戈尔,雅戈尔时尚股份有限公司2024年年度报告（图文版）,2025-05-10 00:00:00,1223510725,reports_raw/companies/600_sh_main/600177_雅戈尔/2024/1223510725.pdf,https://static.cninfo.com.cn/finalpage/2025-05-10/1223510725.PDF
600182,S佳通,佳通轮胎股份有限公司2024年年度报告（更正后）,2025-05-16 00:00:00,1223557548,reports_raw/companies/600_sh_main/600182_S佳通/2024/1223557548.pdf,https://static.cninfo.com.cn/finalpage/2025-05-16/1223557548.PDF
600346,恒力石化,恒力石化2024年年度报告（英文版）,2025-05-20 00:00:00,1223586929,reports_raw/companies/600_sh_main/600346_恒力石化/2024/1223586929.pdf,https://static.cninfo.com.cn/finalpage/2025-05-20/1223586929.PDF
603106,恒银科技,恒银金融科技股份有限公司2024年年度报告（更正版）,2025-05-27 00:00:00,1223684508,reports_raw/companies/603_sh_main/603106_恒银科技/2024/1223684508.pdf,https://static.cninfo.com.cn/finalpage/2025-05-27/1223684508.PDF
603218,日月股份,日月重工股份有限公司2024年年度报告（图文版）,2025-05-21 00:00:00,1223606274,reports_raw/companies/603_sh_main/603218_日月股份/2024/1223606274.pdf,https://static.cninfo.com.cn/finalpage/2025-05-21/1223606274.PDF
603867,新化股份,新化股份2024年年度报告,2025-05-15 00:00:00,1223542602,reports_raw/companies/603_sh_main/603867_新化股份/2024/1223542602.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223542602.PDF
605567,春雪食品,春雪食品集团股份有限公司2024年年度报告（更正版）,2025-05-10 00:00:00,1223511003,reports_raw/companies/605_sh_main/605567_春雪食品/2024/1223511003.pdf,https://static.cninfo.com.cn/finalpage/2025-05-10/1223511003.PDF
688603,天承科技,2024年年度报告（修订版）,2025-05-15 00:00:00,1223545961,reports_raw/companies/688_star/688603_天承科技/2024/1223545961.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223545961.pdf
688613,奥精医疗,奥精医疗：2024年年度报告（更正后）,2025-05-31 00:00:00,1223733364,reports_raw/companies/688_star/688613_奥精医疗/2024/1223733364.pdf,https://static.cninfo.com.cn/finalpage/2025-05-31/1223733364.PDF
833455,汇隆活塞,2024年年度报告（更正公告）,2025-05-15 00:00:00,1223558481,reports_raw/companies/833_other/833455_汇隆活塞/2024/1223558481.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223558481.PDF
