sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000001,平安银行,2024年年度报告,2025-03-15 00:00:00,1222806505,reports_raw/companies/000_sz_main/000001_平安银行/2024/1222806505.pdf,https://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF
000002,万科A,2024年年度报告,2025-04-01 00:00:00,1222974139,reports_raw/companies/000_sz_main/000002_万科A/2024/1222974139.pdf,https://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF
000004,国华网安,2024年年度报告,2025-04-29 00:00:00,1223381901,reports_raw/companies/000_sz_main/000004_国华网安/2024/1223381901.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381901.PDF
000008,神州高铁,2024年年度报告,2025-04-19 00:00:00,1223150123,reports_raw/companies/000_sz_main/000008_神州高铁/2024/1223150123.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223150123.PDF
000009,中国宝安,2024年年度报告,2025-04-16 00:00:00,1223101050,reports_raw/companies/000_sz_main/000009_中国宝安/2024/1223101050.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223101050.PDF
000010,美丽生态,2024年年度报告,2025-04-29 00:00:00,1223368921,reports_raw/companies/000_sz_main/000010_美丽生态/2024/1223368921.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223368921.PDF
000011,深物业A,2024年年度报告,2025-03-29 00:00:00,1222946147,reports_raw/companies/000_sz_main/000011_深物业A/2024/1222946147.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222946147.PDF
000012,南  玻Ａ,2024年年度报告,2025-04-28 00:00:00,1223303879,reports_raw/companies/000_sz_main/000012_南_玻Ａ/2024/1223303879.pdf,https://static.cninfo.com.cn/finalpage/2025-04-28/1223303879.PDF
000014,沙河股份,2024年年度报告,2025-03-29 00:00:00,1222943281,reports_raw/companies/000_sz_main/000014_沙河股份/2024/1222943281.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222943281.PDF
000016,深康佳Ａ,2024年年度报告,2025-04-15 00:00:00,1223095858,reports_raw/companies/000_sz_main/000016_深康佳Ａ/2024/1223095858.pdf,https://static.cninfo.com.cn/finalpage/2025-04-15/1223095858.PDF
000019,深粮控股,2024年年度报告,2025-04-29 00:00:00,1223375162,reports_raw/companies/000_sz_main/000019_深粮控股/2024/1223375162.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223375162.PDF
000025,特  力Ａ,2024年年度报告,2025-03-28 00:00:00,1222927703,reports_raw/companies/000_sz_main/000025_特_力Ａ/2024/1222927703.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222927703.PDF
000026,飞亚达,2024年年度报告,2025-03-14 00:00:00,1222788741,reports_raw/companies/000_sz_main/000026_飞亚达/2024/1222788741.pdf,https://static.cninfo.com.cn/finalpage/2025-03-14/1222788741.PDF
000027,深圳能源,2024年年度报告,2025-04-18 00:00:00,1223126126,reports_raw/companies/000_sz_main/000027_深圳能源/2024/1223126126.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223126126.PDF
000028,国药一致,2024年年度报告,2025-04-08 00:00:00,1223019869,reports_raw/companies/000_sz_main/000028_国药一致/2024/1223019869.pdf,https://static.cninfo.com.cn/finalpage/2025-04-08/1223019869.PDF
000029,深深房Ａ,2024年年度报告,2025-03-22 00:00:00,1222870093,reports_raw/companies/000_sz_main/000029_深深房Ａ/2024/1222870093.pdf,https://static.cninfo.com.cn/finalpage/2025-03-22/1222870093.PDF
000030,富奥股份,2024年年度报告,2025-04-18 00:00:00,1223124906,reports_raw/companies/000_sz_main/000030_富奥股份/2024/1223124906.pdf,https://static.cninfo.com.cn/finalpage/2025-04-18/1223124906.PDF
000031,大悦城,2024年年度报告,2025-04-19 00:00:00,1223153545,reports_raw/companies/000_sz_main/000031_大悦城/2024/1223153545.pdf,https://static.cninfo.com.cn/finalpage/2025-04-19/1223153545.PDF
000034,神州数码,2024年年度报告,2025-03-29 00:00:00,1222950126,reports_raw/companies/000_sz_main/000034_神州数码/2024/1222950126.pdf,https://static.cninfo.com.cn/finalpage/2025-03-29/1222950126.PDF
000035,中国天楹,2024年年度报告,2025-04-29 00:00:00,1223370947,reports_raw/companies/000_sz_main/000035_中国天楹/2024/1223370947.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223370947.PDF
000036,华联控股,2024年年度报告,2025-04-29 00:00:00,1223363605,reports_raw/companies/000_sz_main/000036_华联控股/2024/1223363605.pdf,https://static.cninfo.com.cn/finalpage/2025-04-29/1223363605.PDF
000039,中集集团,2024年年度报告,2025-03-28 00:00:00,1222938612,reports_raw/companies/000_sz_main/000039_中集集团/2024/1222938612.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222938612.pdf
000042,中洲控股,2024年年度报告（更新后）,2025-05-15 00:00:00,1223544393,reports_raw/companies/000_sz_main/000042_中洲控股/2024/1223544393.pdf,https://static.cninfo.com.cn/finalpage/2025-05-15/1223544393.PDF
000045,深纺织Ａ,2024年年度报告,2025-03-28 00:00:00,1222922190,reports_raw/companies/000_sz_main/000045_深纺织Ａ/2024/1222922190.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222922190.PDF
000048,京基智农,2024年年度报告,2025-03-31 00:00:00,1222944754,reports_raw/companies/000_sz_main/000048_京基智农/2024/1222944754.pdf,https://static.cninfo.com.cn/finalpage/2025-03-31/1222944754.PDF
000050,深天马Ａ,2024年年度报告,2025-03-15 00:00:00,1222806950,reports_raw/companies/000_sz_main/000050_深天马Ａ/2024/1222806950.pdf,https://static.cninfo.com.cn/finalpage/2025-03-15/1222806950.PDF
000058,深 赛 格,2024年年度报告,2025-03-28 00:00:00,1222923589,reports_raw/companies/000_sz_main/000058_深_赛_格/2024/1222923589.pdf,https://static.cninfo.com.cn/finalpage/2025-03-28/1222923589.PDF
000059,华锦股份,2024年年度报告,2025-04-16 00:00:00,1223099352,reports_raw/companies/000_sz_main/000059_华锦股份/2024/1223099352.pdf,https://static.cninfo.com.cn/finalpage/2025-04-16/1223099352.PDF
