sec_code,sec_name,announcement_title,announcement_time,announcement_id,local_path,source_url
000670,盈方微,2024年年度报告（更正后）,2025-07-19 00:00:00,1224216255,reports_raw/companies/000_sz_main/000670_盈方微/2024/1224216255.pdf,https://static.cninfo.com.cn/finalpage/2025-07-19/1224216255.PDF
002403,爱仕达,爱仕达股份有限公司2024年年度报告（更新后）,2025-08-28 00:00:00,1224597362,reports_raw/companies/002_sz_main/002403_爱仕达/2024/1224597362.pdf,https://static.cninfo.com.cn/finalpage/2025-08-28/1224597362.PDF
002463,沪电股份,2024年年度报告全文（更正后）,2025-11-28 00:00:00,1224831828,reports_raw/companies/002_sz_main/002463_沪电股份/2024/1224831828.pdf,https://static.cninfo.com.cn/finalpage/2025-11-28/1224831828.PDF
002738,中矿资源,中矿资源集团股份有限公司2024年年度报告（更新后）,2025-08-02 00:00:00,1224368196,reports_raw/companies/002_sz_main/002738_中矿资源/2024/1224368196.pdf,https://static.cninfo.com.cn/finalpage/2025-08-02/1224368196.PDF
300237,ST美晨,山东美晨科技股份有限公司2024年年度报告（更新后）,2025-10-31 00:00:00,1224775277,reports_raw/companies/300_chinext/300237_ST美晨/2024/1224775277.pdf,https://static.cninfo.com.cn/finalpage/2025-10-31/1224775277.PDF
300500,启迪设计,启迪设计集团股份有限公司2024年年度报告（更正后）,2025-12-31 16:48:11,1224913114,reports_raw/companies/300_chinext/300500_启迪设计/2024/1224913114.pdf,https://static.cninfo.com.cn/finalpage/2025-12-31/1224913114.PDF
300631,久吾高科,2024年年度报告（更正后）,2025-10-17 16:42:09,1224717817,reports_raw/companies/300_chinext/300631_久吾高科/2024/1224717817.pdf,https://static.cninfo.com.cn/finalpage/2025-10-17/1224717817.PDF
300831,派瑞股份,2024年年度报告（更正后）,2025-12-26 18:42:28,1224901094,reports_raw/companies/300_chinext/300831_派瑞股份/2024/1224901094.pdf,https://static.cninfo.com.cn/finalpage/2025-12-26/1224901094.PDF
600173,卧龙新能,卧龙资源集团股份有限公司2024年年度报告（更正后）,2025-08-09 00:00:00,1224442661,reports_raw/companies/600_sh_main/600173_卧龙新能/2024/1224442661.pdf,https://static.cninfo.com.cn/finalpage/2025-08-09/1224442661.PDF
600215,派斯林,派斯林2024年年度报告（更正版）,2025-07-19 00:00:00,1224215479,reports_raw/companies/600_sh_main/600215_派斯林/2024/1224215479.pdf,https://static.cninfo.com.cn/finalpage/2025-07-19/1224215479.PDF
600320,振华重工,振华重工2024年年度报告（英文版）,2025-08-30 00:00:00,1224623034,reports_raw/companies/600_sh_main/600320_振华重工/2024/1224623034.pdf,https://static.cninfo.com.cn/finalpage/2025-08-30/1224623034.PDF
601155,新城控股,新城控股2024年年度报告（更正版）,2025-10-01 00:00:00,1224697369,reports_raw/companies/601_sh_main/601155_新城控股/2024/1224697369.pdf,https://static.cninfo.com.cn/finalpage/2025-10-01/1224697369.PDF
601991,大唐发电,大唐发电2024年年度报告（修订版）,2025-07-19 00:00:00,1224216219,reports_raw/companies/601_sh_main/601991_大唐发电/2024/1224216219.pdf,https://static.cninfo.com.cn/finalpage/2025-07-19/1224216219.PDF
603167,渤海轮渡,渤海轮渡集团股份有限公司2024年年度报告（更正版）,2025-08-30 00:00:00,1224623894,reports_raw/companies/603_sh_main/603167_渤海轮渡/2024/1224623894.pdf,https://static.cninfo.com.cn/finalpage/2025-08-30/1224623894.PDF
603366,日出东方,日出东方控股股份有限公司2024年年度报告(更正后）,2025-08-28 00:00:00,1224593984,reports_raw/companies/603_sh_main/603366_日出东方/2024/1224593984.pdf,https://static.cninfo.com.cn/finalpage/2025-08-28/1224593984.PDF
603609,禾丰股份,禾丰股份2024年年度报告（英文版）,2025-07-23 00:00:00,1224255112,reports_raw/companies/603_sh_main/603609_禾丰股份/2024/1224255112.pdf,https://static.cninfo.com.cn/finalpage/2025-07-23/1224255112.PDF
920030,德众汽车,2024年年度报告（更正公告）,2025-12-24 00:00:00,1224897441,reports_raw/companies/920_bse/920030_德众汽车/2024/1224897441.pdf,https://static.cninfo.com.cn/finalpage/2025-12-24/1224897441.PDF
920670,数字人,2024年年度报告（更正公告）,2025-10-28 00:00:00,1224754464,reports_raw/companies/920_bse/920670_数字人/2024/1224754464.pdf,https://static.cninfo.com.cn/finalpage/2025-10-28/1224754464.PDF
920748,路桥信息,2024年年度报告（更正公告）,2025-11-24 00:00:00,1224824267,reports_raw/companies/920_bse/920748_路桥信息/2024/1224824267.pdf,https://static.cninfo.com.cn/finalpage/2025-11-24/1224824267.PDF
